dataset,cell_type,gene_set,k,n_cells,max_rank,median_detected,depth_ratio,tie_break_inclusion,mean_tie_break,mean_detected_part,mean_total,score_tie_break_share
gse161529,0,BIOCARTA_EEA1_PATHWAY,7,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012813186813186814,0.012287694863276258,0.025100881676463075,0.510467599439013
gse161529,0,BIOCARTA_EFP_PATHWAY,16,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012037045319022064,0.022158374329159215,0.03419541964818128,0.3520075332563514
gse161529,0,BIOCARTA_EGFR_SMRTE_PATHWAY,11,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012206822247519922,0.012745053396216188,0.024951875643736108,0.4892146154385115
gse161529,0,BIOCARTA_EGF_PATHWAY,27,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011255631749817797,0.03898634024603017,0.05024197199584796,0.2240284627113755
gse161529,0,BIOCARTA_EICOSANOID_PATHWAY,22,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012270165880630998,0.003932082452431289,0.016202248333062285,0.757312542580434
gse161529,0,BIOCARTA_EIF2_PATHWAY,10,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01157918902802624,0.05783820810971973,0.06941739713774597,0.16680528953065588
gse161529,0,BIOCARTA_EIF4_PATHWAY,24,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01215308835221626,0.047584252633671234,0.059737340985887497,0.2034420707658772
gse161529,0,BIOCARTA_EIF_PATHWAY,16,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01135568537567084,0.13031806238819324,0.14167374776386404,0.08015377269893381
gse161529,0,BIOCARTA_EOSINOPHILS_PATHWAY,9,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.013082124163519513,0.005927913602332207,0.01901003776585172,0.6881692884913312
gse161529,0,BIOCARTA_EPHA4_PATHWAY,8,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012420356290995827,0.020176934257602863,0.032597290548598695,0.3810241919486697
gse161529,0,BIOCARTA_EPONFKB_PATHWAY,11,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011567395782512062,0.015778256627093836,0.0273456524096059,0.4230067584143175
gse161529,0,BIOCARTA_EPO_PATHWAY,19,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.010758073627718669,0.04383066566236701,0.05458873929008568,0.1970749602871399
gse161529,0,BIOCARTA_ERAD_PATHWAY,19,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011707717415183755,0.0587571242506983,0.07046484166588206,0.16614977254468796
gse161529,0,BIOCARTA_ERBB3_PATHWAY,5,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011541532498509243,0.020545319022063212,0.03208685152057245,0.3596966343397513
gse161529,0,BIOCARTA_ERBB4_PATHWAY,7,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012755238947099413,0.00799985092426953,0.02075508987136894,0.6145595623122261
gse161529,0,BIOCARTA_ERK5_PATHWAY,14,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01176280986455405,0.016653388278388276,0.028416198142942328,0.41394734810700057
gse161529,0,BIOCARTA_ERK_PATHWAY,27,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011848031096093113,0.031065206828772722,0.04291323792486583,0.2760926853582363
gse161529,0,BIOCARTA_ERYTH_PATHWAY,15,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012229179089644205,0.0023722619757503478,0.014601441065394554,0.8375323390940764
gse161529,0,BIOCARTA_ETC_PATHWAY,10,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.010976431127012524,0.1000309183064997,0.11100734943351222,0.0988802199406342
gse161529,0,BIOCARTA_ETS_PATHWAY,17,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011709337402223859,0.044616954295134875,0.05632629169735873,0.20788404578696837
gse161529,0,BIOCARTA_EXTRINSIC_PATHWAY,13,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01241998073482868,0.0009235585523599835,0.013343539287188661,0.9307860881223091
gse161529,0,BIOCARTA_FAS_PATHWAY,30,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012153836215464123,0.03401414231763069,0.04616797853309481,0.26325250967511676
gse161529,0,BIOCARTA_FBW7_PATHWAY,9,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011898462863579144,0.05164829722387862,0.06354676008745776,0.18723948864117695
gse161529,0,BIOCARTA_FCER1_PATHWAY,39,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011404312493310705,0.047237695518554196,0.0586420080118649,0.19447343090644673
gse161529,0,BIOCARTA_FEEDER_PATHWAY,9,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012215646326111444,0.03801674617372292,0.05023239249983436,0.24318265004303197
gse161529,0,BIOCARTA_FIBRINOLYSIS_PATHWAY,12,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012437673921685549,0.0018191090240508845,0.014256782945736434,0.8724039616107855
gse161529,0,BIOCARTA_FLUMAZENIL_PATHWAY,8,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012043809630292187,0.040649839743589745,0.052693649373881934,0.22856283012088752
gse161529,0,BIOCARTA_FMLP_PATHWAY,34,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011600099968431022,0.04315901995860956,0.054759119927040585,0.2118386852068961
gse161529,0,BIOCARTA_FOSB_PATHWAY,5,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.010149672033392964,0.08616973762671438,0.09631940966010734,0.10537514784620466
gse161529,0,BIOCARTA_FREE_PATHWAY,9,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011520655270655272,0.041570943483734184,0.053091598754389444,0.21699582496944078
gse161529,0,BIOCARTA_FXR_PATHWAY,7,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.0125959408808246,0.008285309651588722,0.020881250532413322,0.6032177460479347
gse161529,0,BIOCARTA_G1_PATHWAY,28,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011823132294062526,0.01658015482579436,0.028403287119856884,0.4162592957699221
gse161529,0,BIOCARTA_G2_PATHWAY,24,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011940934953289604,0.019222389932419003,0.031163324885708603,0.38317268767318463
gse161529,0,BIOCARTA_GABA_PATHWAY,10,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012833348240906381,0.0077514311270125225,0.020584779367918905,0.623438707383329
gse161529,0,BIOCARTA_GATA3_PATHWAY,14,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012447866087400972,0.029719130675526024,0.042166996762927,0.29520399940706876
gse161529,0,BIOCARTA_GCR_PATHWAY,17,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01151219790241678,0.083873732856291,0.09538593075870777,0.12069073301322096
gse161529,0,BIOCARTA_GHRELIN_PATHWAY,13,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01207434292004954,0.027537326269437182,0.03961166918948672,0.30481782684518066
gse161529,0,BIOCARTA_GH_PATHWAY,27,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011876394134146071,0.012928896397888644,0.02480529053203472,0.4787847221062917
gse161529,0,BIOCARTA_GLEEVEC_PATHWAY,23,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011398479427549194,0.043811198828135126,0.055209678255684326,0.20645799409953305
gse161529,0,BIOCARTA_GPCR_PATHWAY,30,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011464808189226794,0.058710301132975554,0.07017510932220233,0.16337428327453282
gse161529,0,BIOCARTA_GRANULOCYTES_PATHWAY,15,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012335907374279467,0.0010651162790697674,0.013401023653349234,0.9205197821732395
gse161529,0,BIOCARTA_GSK3_PATHWAY,20,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012205441264162193,0.02349352265951103,0.03569896392367323,0.3418990335478151
gse161529,0,BIOCARTA_HBX_PATHWAY,7,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.010713646818297982,0.05937539398585911,0.0700890408041571,0.15285766070381918
gse161529,0,BIOCARTA_HCMV_PATHWAY,17,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011908748114630469,0.016407108281595285,0.028315856396225754,0.4205681773487803
gse161529,0,BIOCARTA_HDAC_PATHWAY,25,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01174994633273703,0.043031568276684556,0.05478151460942158,0.21448743096117717
gse161529,0,BIOCARTA_HER2_PATHWAY,23,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01172211635684841,0.029172713956081,0.0408948303129294,0.28664054275687556
